"Citation","PubData"
"Tryland et al. 2001","Tryland, M., A. E. Derocher, O. Wiig, and J. Godfroid. 2001. Brucella sp antibodies in polar bears from Svalbard and the Barents Sea. Journal of Wildlife Diseases 37:523-531."
"Tryland et al. 2005","Tryland, M., E. Neuvonen, A. Huovilainen, H. Tapiovaara, A. Osterhaus, O. Wiig and A. E. Derocher. 2005. Serologic survey for selected virus infections in polar bears at svalbard. Journal of Wildlife Diseases 41: 310-316"
"Tryland et al. 2005a","Tryland, M., K. K. Sorensen and J. Godfroid. 2005. Prevalence of brucella pinnipediae in healthy hooded seals (cystophora cristata) from the north atlantic ocean and ringed seals (phoca hispida) from svalbard. Veterinary Microbiology 105: 103-111"
"Tryland et al. 2005b","Tryland, M., J. Klein, E. S. Nordoy and A. S. Blix. 2005. Isolation and partial characterization of a parapoxvirus isolated from a skin lesion of a weddell seal. Virus Research 108: 83-87"
"Tryland et al. 2005c","Tryland, M., E. Neuvonen, A. Huovilainen, H. Tapiovaara, A. Osterhaus, O. Wiig and A. E. Derocher. 2005. Serologic survey for selected virus infections in polar bears at svalbard. Journal of Wildlife Diseases 41: 310-316"
"Tsukada et al. 2000","Tsukada, H., Y. Morishima, N. Nonaka, Y. Oku, and M. Kamiya. 2000. Preliminary study of the role of red foxes in Echinococcus multilocularis transmission in the urban area of Sapporo, Japan. Parasitology 120:423-428."
"Tung et al. 2009","Tung, J., A. Primus, A. J. Bouley, T. F. Severson, S. C. Alberts, and G. A. Wray. 2009. Evolution of a malaria resistance gene in wild primates. Nature 460:388-391."
"Tuntasuvan et al 2000","Tuntasuvan, D., S. Mimapan, et al. (2000). ""Detection of Trypanosoma evansi in brains of the naturally infected hog deer by streptavidine-biotin immunohistochemistry."" Veterinary Parasitology 87(2-3): 223-230."
"Uhart et al  2003","Uhart, M.M., Vila, A.R., Beade, M.S., Balcarce, A., Karesh, W.B. (2003) Health evaluation of pampas deer (Ozotoceros bezoarticus celer) at Campos del Tuyu Wildlife Reserve, Argentina. Journal of Wildlife diseases 39: 887-893."
"Uilenberg et al. 1972","Uilenberg, G., J. Blancou, and G. Andrianjafy. 1972. Un nouvel hematozoaire d'un Lemurien malgache Babesia propitheci sp. n. (Babesiidae, Sporozoa). Annales De Parasitologie Humaine Et Comparee XLVII:1- 4."
"Uni et al 1998","Uni, S., Y. Suzuki, et al. (1998). ""Cercopithifilaria shohoi n. sp. (Nematoda: Filarioidea) from the relict bovidae, Capricornis crispus, in Japan."" Parasite 5(2): 119-126."
"Uni et al 2001","Uni, S., O. Bain, et al. (2001). ""Onchocerca dewittei japonica n. subsp., a common parasite from wild boar in Kyushu Island, Japan."" Parasite 8(3): 215-222."
"Uni et al. 1992","Uni, S., M. Abe, K. Harada, K. Kaneda, I. Kimata, N. M. Abdelmaksoud, K. Takahashi et al. 1992. New Record of Gongylonema-Pulchrum Molin, 1857 from a New Host, Macaca-Fuscata, in Japan. Annales De Parasitologie Humaine Et Comparee 67:221-223."
"Uni et al. 1994","Uni, S., S. Kobayashi, M. Miyashita, N. Kimura, A. Kato, M. Aimi, I. Kimata et al. 1994. Geographic-Distribution of Gongylonema-Pulchrum and Gongylonema-Macrogubernaculum from Macaca-Fuscata in Japan. Parasite-Journal De La Societe Francaise De Parasitologie 1:127-130."
"Uni et al. 2002","Uni, S., Bain, O., Takaoka, H., Katsumi, A., Fujita, H., Suzuki, Y. (2002) Diversification of Cercopithifilaria species (Nematoda: Filarioidea) in Japanese wild ruminants with description of two new species. Parasite 9: 293-304."
"Uni et al. 2004","Uni, S., Bain, O., Takaoka, H. (2004) Affinities between Cutifilaria (Nematoda: Filarioidea), parasites of deer, and Mansonella as seen in a new onchocercid, M. (C.) perforata n. sp., from Japan. Parasite 11: 131-140."
"Uni et al. 2006","Uni, S., Bain, O., Agatsuma, T., Katsumi, A., Baba, M., Yanai, T., Takaoka, H. (2006) New filarial nematode from japanese serows (Naemorhedus crispus: Bovidae) close to parasites from elephants. Parasite 13: 193-200."
"Uni et al. 2007","Uni, S., Bain, O., Agatsuma, T., Harada, M., Torii, H., Fukuda, M., Takaoka, H. (2007) Onchocerca eberhardi n. sp. (Nematoda: Filarioidea) from sika deer in Japan. Relationships between species parasitic in cervids and bovids in the holarctic region. Parasite 14: 199-211."
"Upshall et al 1987","Upshall, S. M., M. D. B. Burt, et al. (1987). ""Parelaphostrongylus-Tenuis in New Brunswick Canada the Parasite in White-Tailed Deer Odocoileus-Virginianus and Moose Alces-Alces."" Journal of Wildlife Diseases 23(4): 683-685."
"Ursprung et al. 2006","Ursprung, J., Joachim, A., Prosl, H. (2006) Epidemiology and control of the giant liver fluke, Fascioloides magna, in a population of wild ungulates in the Danubian wetlands east of Vienna. Berl. Munch. Tierarztl. Wochenschr. 119: 316-323."
"Usui and Horii 1985","Usui, M. and Y. Horii (1985). ""Oxyuris-Karamoja New-Record Recovered from White Rhinoceroses."" Bulletin of the Faculty of Agriculture Miyazaki University 32(1): 211-216."
"Uzal et al. 2007","Uzal, F. A., R. S. Houston, S. P. D. Riley, R. Poppenga, J. Odani and W. Boyce. 2007. Notoedric mange in two free-ranging mountain lions (puma concolor). Journal of Wildlife Diseases 43: 274-278"
"Valcarcel and Romero 2002","Valcarcel, F. and C. Garcia Romero (2002). ""First report of Elaphostrongylus cervi in Spanish red deer Cervus elaphus hispanicus."" Journal of Helminthology 76(1): 91-93."
"Valcarcel et al 2000","Valcarcel, F., J. Corchero, et al. (2000). ""Parasites of Cervus elaphus hispanicus from Hosquillo National Park (Spain)."" Acta Parasitologica 45(3): 160."
"Valcarcel et al. 2004","Valcarcel, F., Corchero, J., Olmeda, A.S., Romero, C.G. (2004) Epidemiology of cerebrospinal Elaphostrongylus cervi infection in red deer in central Sparin. Journal of Helminthology 78: 265-270."
"Valdespino et al. 2010","Valdespino, C., Hernandez, G.R., and S. Mandujano. 2010. Gastrointestinal Parasites of Howler Monkeys (Alouatta palliata) inhabiting the Fragmented Landscape of the Santa Marta Mountain Range, Veracruz, Mexico. American Journal of Primatology 72:539-548"
"Valdmann et al. 2004","Valdmann, H., E. Moks and H. Talvik. 2004. Helminth fauna of eurasian lynx (lynx lynx) in estonia. Journal of Wildlife Diseases 40: 356-360"
"Valenca et al. 2000","Valenca, M. M., J. B. de Oliveiria, M. A. O. M. da Cruz, M. D. Cavalcanti, and M. E. P. de Sa. 2000. Trypanoxyuris (Hapaloxyuris) callithricis (Oxyurida, Oxyuridae) in Wild Callithrix jacchus (Linnaeus, 1758), in Northeast Brazil. In: Laboratory Primate Newsletter 39."
"Valenzuela et al. 2000","Valenzuela, D., G. Ceballos, and A. Garcia. 2000. Mange epizootic in white-nosed coatis in western Mexico. Journal of Wildlife Diseases 36:56-63."
"Valis et al. 1977","Valis, J. D., N. Newell, M. Reissig, H. Malherbe, V. R. Kaschula, and K. V. Shah. 1977. Characterization of Sa12 as a Simian-Virus 40-Related Papovavirus of Chacma Baboons. Infection and Immunity 18:247-252."
"Van Baren et al 1996","Van Baren, D., C., P. Hoberg Eric, et al. (1996). ""Abomasal parasites in the tule elk (Cervus elaphus nannodes) from Grizzly Island, California."" Journal of the Helminthological Society of Washington 63(2): 222-225."
"Van Brussel et al. 1998","Van Brussel, M., M. Salemi, H. F. Liu, J. Gabriels, P. Goubau, J. Desmyter, and A. M. Vandamme. 1998. The simian T-lymphotropic virus STLV-PP1664 from Pan paniscus is distinctly related to HTLV-2 but differs in genomic organization. Virology 243:366-379."
"Van Campen et al 2001","Van Campen, H., J. Ridpath, et al. (2001). ""Isolation of bovine viral diarrhea virus from a free-ranging mule deer in Wyoming."" Journal of Wildlife Diseases 37(2): 306-311."
"van de Bildt et al. 2000","Van de Bildt, M. W. G., B. E. E. Martina, E. J. Vedder, E. Androukaki, S. Kotomatas, A. Komnenou, B. A. Sidi et al. 2000. Identification of morbilliviruses of probable cetacean origin in carcases of Mediterranean monk seals (Monachus monachus). Veterinary Record 146:691-694."
"van den Berghe et al. 1964","Van Den Berghe, L., M. Chardome, and E. Peel. 1964. The Filarial Parasites of the Eastern Gorilla in the Congo. Journal of Helminthology 38:349- 368."
"Van Den Bussche et al. 1987","van den Bussche, R. A., M. L. Kennedy, and W. E. Wilhelm. 1987. Helminth-parasites of the coyote (Canis latrans) in Tennessee. Journal of Parasitology 73:327-332."
"Van der Giessen et al 2001","Van Der Giessen, J. W. B., Y. Rombout, A. Van Der Veen, and E. Pozio. 2001. Diagnosis and epidemiology of Trichinella infections in wildlife in the Netherlands. Parasite-Journal De La Societe Francaise De Parasitologie 8:S103-S105."
"van der Giessen et al. 1999","van der Giessen, J. W. B., Y. B. Rombout, J. H. Franchimont, L. P. Limper, and W. L. Homan. 1999. Detection of Echinococcus multilocularis in foxes in the Netherlands. Veterinary Parasitology 82:49-57."
"Van der Giessen et al. 2001","Van Der Giessen, J. W. B., Y. Rombout, A. Van Der Veen, and E. Pozio. 2001. Diagnosis and epidemiology of Trichinella infections in wildlife in the Netherlands. Parasite-Journal De La Societe Francaise De Parasitologie 8:S103-S105."
"Van Der Leek et al 1993a","Van Der Leek, M. L., H. N. Becker, et al. (1993a). ""Prevalence of pseudorabies (Aujeszky's disease) virus antibodies in feral swine in Florida."" Journal of Wildlife Diseases 29(3): 403-409."
"Van Der Leek et al 1993b","Van Der Leek, M. L., H. N. Becker, et al. (1993b). ""Prevalence of Brucella sp. antibodies in feral swine in Florida."" Journal of Wildlife Diseases 29(3): 410-415."
"Van Dooren et al. 2007","Van Dooren, S., E. J. Verschoor, Z. Fagrouch, A.-M. Vandamme. 2007. Phylogeny of primate T lymphotropic virus type 1 (PTLV-1) including various new Asian and African non-human primate strains. Infection, Genetics and Evolution 7: 374-381."
"Van Heerden et al. 1994","van Heerden, J., J. Boomker, D. G. Booyse, and M. G. L. Mills. 1994. The wild dog (Lycaon pictus) - a new host for Ancylostoma caninum. Journal of the South African Veterinary Association-Tydskrif Van Die Suid-Afrikaanse Veterinere Vereniging 65:18-19."
"van Helden et al. 2008","van Helden, P. D., N. C. G. van Pittius, R. M. Warren, A. Michel, T. Hlokwe, D. Morar, J. Godfroid, E. C. du Plessis and R. Bengis. 2008. Pulmonary infection due to mycobacterium goodii in a spotted hyena (crocuta crocuta) from south africa. Journal of Wildlife Diseases 44: 151-154"
"Van Heuverswyn et al. 2006","Van Heuverswyn, F., Y. Li, C. Neel, E. Bailes, B. F. Keele, W. Liu, S. Loul, C. Butel, F. Liegeois, Y. Bienvenue, E. M. Ngolle, P. M. Sharp, G. M. Shaw, E. Delaporte, B. H. Hahn, M. Peeters. 2006. SIV infection in wild gorillas. Nature 444(9):164."
"van Lieshout et al. 2005","van Lieshout, L., J. M. de Gruijter, M. Adu-Nsiah, M. Haizel, J. J. Verweij, E. A. T. Brienen, R. B. Gasser et al. 2005. Oesophagostomum bifurcum in non-human primates is not a potential reservoir for human infection in Ghana. Tropical Medicine and International Health 10:1315."
"van Moll et al. 1995","Van Moll, P., S. Alldinger, W. Baumgartner, and M. Adami. 1995. Distemper in wild carnivores - an epidemiologic, histological and immunocytochemical study. Veterinary Microbiology 44:193-199."
"van Rensburg et al. 1998","van Rensburg, E. J., S. Engelbrecht, J. Mwenda, J. D. Laten, B. A. Robson, T. Stander, and G. K. Chege. 1998. Simian immunodeficiency viruses (SIVs) from eastern and southern Africa: detection of a SIVagm variant from a chacma baboon. Journal of General Virology 79:1809-1814."
"van Rensburg et al. 1999","Van Rensburg, E., S. Engelbrecht, B. Robson, D. Langat, M. Isahakia, and J. Mwenda. 1999. Phylogenetic analysis of simian T lymphotropic virus type I from Kenyan olive baboons (Papio anubis), lowland Sykes monkeys (Cercopithecus mitis), and vervet monkeys (Cercopithecus aethiops pygerythrus). Aids Research and Human Retroviruses 15:781-784."
"Van Vuren and Scott 1995","Van Vuren, D. and A. Scott Cheryl (1995). ""Internal parasites of sympatric bison, Bison bison, and cattle, Bos taurus."" Canadian Field-Naturalist 109(4): 467-469."
"Van Waerebeke et al. 1988","Van Waerebeke, D., A. G. Chabaud, and J. Y. Collet. 1988. New Atractid Nematodes Parasite of Chimpanzee and Gorilla in Gaboon. Annales De Parasitologie Humaine Et Comparee 63:37-47."
"Vanaga et al. 2003","Vanaga, S., R. Van der Heide, R. Joffe and W. H. M. Van der Poel. 2003. Rabies in wildlife in latvia. Vector-Borne and Zoonotic Diseases 3: 117-124"
"Vanek et al 1996","Vanek Jerome, A., J. P. Dubey, et al. (1996). ""Prevalence of Toxoplasma gondii antibodies in hunter-killed white-tailed deer (Odocoileus virginianus) in four regions of Minnesota."" Journal of Parasitology 82(1): 41-44."
"Vartanian et al. 2002","Vartanian, J. P., P. Pineau, M. Henry, V. Lacoste, W. D. Hamilton, R. W. Wrangham, and S. Wain-Hobson. In prep. Chimpanzees as a reservoir for persistent viral infections:  a novel virus akin to Kaposi's sarcoma herpes virus. Sent to CN from R. Wrangham."
"Verbisck-Bucker et al 2008","Verbisck-Bucker, G., Gonzalez-Candela, M., Galian, J., Cubero-Pablo, M.J., Martin-Atance, P., Leon-Vizcaino, L. (2008) Epidemiology of Mycoplasma agalactiae infection in free-ranging Spanish ibex (Capra pyrenaica) in Andalusia, southern Spain. Journal of Wildlife diseases 44: 369-380."
"Vercammen et al. 2002","Vercammen, F., M. Vervaeke, P. Dorny, J. Brandt, B. Brochier, S. Geerts and R. Verhagen. 2002. Survey for trichinella spp. In red foxes (vulpes vulpes) in belgium. Veterinary Parasitology 103: 83-88"
"VerCauteren et al. 2008","VerCauteren, K. C., T. C. Atwood, T. J. DeLiberto, H. J. Smith, J. S. Stevenson, B. V. Thomsen, T. Gidlewski and J. Payeur. 2008. Sentinel-based surveillance of coyotes to detect bovine tuberculosis, michigan. Emerging Infectious Diseases 14: 1862-1869"
"Verma 1990","Verma, N. D. (1990) An outbreak of septicaemic broncho-pneumonia in mithun (Bos frontalis) due to Pseudomonas sp. Indian Journal of Animal Sciences, 60: 1437-1438"
"Verschoor et al. 1998","Verschoor, E. J., K. S. Warren, H. Niphuis, Heriyanto, R. A. Swan, and J. L. Heeney. 1998. Characterization of a simian T-lymphotropic virus from a wild-caught orangutan (Pongo pygmaeus) from Kalimantan, Indonesia. Journal of General Virology 79:51-55."
"Verschoor et al. 2007","Verschoor, E. J., H. Niphuis, Z. Fagrouch, P. Christian, K. Sasnauskas, M. C. Pizarro, and J. L. Heeney. 2008. Seroprevalence of SV40-like polyomavirus infections in captive and free-ranging macaque species. Journal of Medical Primatology."
"Verts and Storm 1966","Verts, B. J., and Storm, G. L. (1966). A local study of prevalence of rabies among foxes and striped skunks. The Journal of Wildlife Management, 419-421."
"Vervaeke et al. 2003","Vervaeke, M., P. Dorny, F. Vercammen, S. Geerts, J. Brandt, K. Van den Berge and R. Verhagen. 2003. Echinococcus multilocularis (cestoda, taeniidae) in red foxes (vulpes vulpes) in northern belgium. Veterinary Parasitology 115: 257-263"
"Vervaeke et al. 2005","Vervaeke, M., P. Dorny, L. De Bruyn, F. Vercammen, K. Jordaens, K. Van Den Berge and R. Verhagen. 2005. A survey of intestinal helminths of red foxes (vulpes vulpes) in northern belgium. Acta Parasitologica 50: 221-227"
"Vervaeke et al. 2006","Vervaeke, M., J. van der Giessen, B. Brochier, B. Losson, K. Jordaens, R. Verhagen, C. D. Coulander and P. Teunis. 2006. Spatial spreading of echinococcus multilocularis in red foxes (vulpes vulpes) across nation borders in western europe. Preventive Veterinary Medicine 76: 137-150"
"Vicente and Gortazar 2001","Vicente, J. and C. Gortazar (2001). ""High prevalence of large spiny-tailed protostrongylid larvae in Iberian red deer."" Veterinary Parasitology 96(2): 165-170."
"Vicente et al 2000","Vicente, J. J., C. Muniz-Pereira Luis, et al. (2000). ""Description of males of Parabronema pecariae Ivaschkin, 1960 (Nematoda, Habronematoidea) parasitizing peccaries (Mammalia, Tayassuidae) in Brazil."" Memorias do Instituto Oswaldo Cruz 95(6): 849-851."
"Vicente et al 2002","Vicente, J., L. Leon-Vizcaino, et al. (2002). ""Antibodies to Selected Viral and Bacterial Pathogens in European Wild Boars from Southcentral Spain."" Journal of Wildlife Diseases 38(3): 649-652."
"Vicente et al. 1992","Vicente JJ, Pinto RM, Faria Z. 1992. Spirura delicata sp. n. (Spiruridae, Spirurinae) from Leontocebus mystax (Callithrichidae) and a check list of other nematodes of some Brazilian primates. Memorias do Instituto Oswaldo Cruz 87:305-308."
"Vicente et al. 2004a","Vicente, J., F. Palomares, R. R. de Ibanez and J. Ortiz. 2004. Epidemiology of ancylostoma spp. In the endangered iberian lynx (lynx pardinus) in the donana national park, south-west spain. Journal of Helminthology 78: 179-183"
"Vicente et al. 2004b","Vicente, J., Fierro, Y., Martinez, M., and Gortazar, C. (2004). Long-term epidemiology, effect on body condition and interspecific interactions of concomitant infection by nasopharyngeal bot fly larvae (Cephenemyia auribarbis and Pharyngomyia picta, Oestridae) in a population of Iberian red deer (Cervus elaphus hispanicus).¬†Parasitology,¬†129(03), 349-361."
"Vicente et al. 2005","Vicente, J., Fierro, Y., Gortazar, C. (2005) Seasonal dynamics of the fecal excretion of Elaphostrongylus cervi (Nematoda, Metastrongyloidea) first-stage larvae in Iberian red deer (Cervus elaphus hispanicus) from southern Spain. Parasitol Res 95: 60-64."
"Vicente et al. 2006","Vicente, J., Fernandez de Mera, I.G., Gortazar, C. (2006) Epidemiology and risk factors analysis of elaphostrongylosis in red deer (Cervus elaphus) from Spain. Parasitol Res 98: 77-85."
"Vicente et al. 2007","Vicente, J., R. J. Delahay, N. J. Walker and C. L. Cheeseman. 2007. Social organization and movement influence the incidence of bovine tuberculosis in an undisturbed high-density badger meles meles population. Journal of Animal Ecology 76: 348-360"
"Vie and Richard-Hansen 1997","Vie, J.C. and Richard-Hansen, C.  1997.  Primate translocation in French Guiana - A Preliminary Report.  Neotropical Primates 5(1): 1-3.  March 1997."
"Vikoren et al 2004","Vikoren, T., Tharaldsen, J., Fredriksen, B., Handeland, K. (2004) Prevalence of Toxoplasma gondii antibodies in wild red deer, roe deer, moose, and reindeer from Norway. Veterinary Parasitology 120: 159-169."
"Vikoren et al. 2006","Vikoren, T., Li, H., Lillehaug, A., Monceyron Jonassen, C., Bockerman, I., Handeland, K. (2006) Malignant catarrhal fever in free-ranging cervids associated with OVHV-2 and CPHV-2 DNA. Journal of Wildlife diseases 42: 797-807."
"Vikoren et al. 2008","Vikoren, T.Lillehaug, A. Akerstedt. J.Bretten, T.Haugum, M.Tryland, M. (2008) A severe outbreak of contagious ecthyma (orf) in a free-ranging musk ox (Ovibos moschatus) population in Norway. Veterinary Microbiology 127: 10-20."
"Vitazkova and Wade 2006","Vitazkova, S., and S. Wade. 2006. Parasites of free-ranging black howler monkeys (Alouatta pigra) from Belize and Mexico. American Journal of Primatology 68."
"Vitazkova and Wade 2007","Vitazkova S. K. and S. E. Wade. 2007. Effects of ecology on the gastrointestinal parasites of alouatta pigra. International Journal of Primatology. 28:1327-1343"
"Voevodin et al. 1997","Voevodin, A., E. Samilchuk, J. Allan, J. Rogers, and S. Broussard. 1997. Simian T-lymphotropic virus type 1 (STLV-1) infection in wild yellow baboons (Papio hamadryas cynocephalus) from Mikumi National Park, Tanzania. Virology 228:350-359.."
"Volney et al. 2002","Volney, B., J. F. Pouliquen, B. De Thoisy, and T. Fandeur. 2002. A sero-epidemiological study of malaria in human and monkey populations in French Guiana. Acta Tropica 82:11-23."
"Voltarelli et al. 2009","Voltarelli, E. M., S. Arraes, T. F. Perles, M. V. C. Lonardoni, U. Teodoro and T. G. V. Silveira. 2009. Serological survey for leishmania sp infection in wild animals from the municipality of maringa, parana state, brazil. Journal of Venomous Animals and Toxins Including Tropical Diseases 15: 732-744"
"Vosloo 1994","Vosloo, W. (1994). ""Molecular epidemiology of SAT type foot and mouth disease viruses in buffalo (Syncerus caffer) in Southern Africa."" SO - Donaldson, A. I.; Masiga, W. N.; Erasmus, B. J.: Authors. Foot and mouth disease, African horse sickness and contagious bovine pleuropneumonia. . 1994. 7."
"Vossen et al. 2004","Vossen, A., A. Abdulmawjood, C. Lammler, R. Weiss and U. Siebert. 2004. Identification and molecular characterization of beta-hemolytic streptococci isolated from harbor seals (phoca vitulina) and grey seals (halichoerus grypus) of the german north and baltic seas. Journal of Clinical Microbiology 42: 469-473"
"Vynne and Kinsella 2009","Vynne, C. and J. M. Kinsella. 2009. First record of entodiniomorph ciliates in a carnivore, the maned wolf (chrysocyon brachyurus), from brazil. Journal of Zoo and Wildlife Medicine 40: 382-384"
"Wacker et al. 1999","Wacker, K., E. Rodriguez, T. Garate, L. Geue, K. Tackmann, T. Selhorst, C. Staubach et al. 1999. Epidemiological analysis of Trichinella spiralis infections of foxes in Brandenburg, Germany. Epidemiology and Infection 123:139-147."
"Wade et al. 1989","Wade, S. E., W. I. Anderson, and J. D. Kidder. 1989. Eurytrema-Procyonis in a Raccoon (Procyon-Lotor) from New-York State - a 1st Report. Journal of Wildlife Diseases 25:270-272."
"Waghela and Karstad 1986","Waghela, S. and L. Karstad (1986). ""Antibodies to Brucella-Spp among Blue Wildebeest Connochaetes-Taurinus and African Buffalo Syncerus-Caffer in Kenya."" Journal of Wildlife Diseases 22(2): 189-192"
"Wahl and Bain 1995","Wahl, G. and O. Bain (1995). ""Development by injection in Simulium damnosum S.L. of two Onchocerca species from the wart hog to infective larvae resembling type D larvae (Duke, 1967)."" Parasite 2(1): 55-62."
"Waid and Pence 1988","Waid, D. D., and D. B. Pence. 1988. Helminths of Mountain Lions (Felis-Concolor) from Southwestern Texas, with a Redescription of Cylicospirura-Subaequalis (Molin, 1860) Vevers, 1922. Canadian Journal of Zoology-Revue Canadienne De Zoologie 66:2110-2117."
"Waid et al 1985","Waid, D. D., D. B. Pence, et al. (1985). ""Effects of Season and Physical Condition on the Gastrointestinal Helminth Community of White-Tailed Deer Odocoileus-Virginianus from the Texas Edwards Plateau USA."" Journal of Wildlife Diseases 21(3): 264-273."
"Waldrup et al 1989a","Waldrup, K. A., A. A. Kocan, et al. (1989). ""Serological Prevalence and Isolation of Babesia-Odocoilei among White-Tailed Deer Odocoileus-Virginianus in Texas and Oklahoma USA."" Journal of Wildlife Diseases 25(2): 194-201."
"Waldrup et al 1989b","Waldrup, K. A., E. Collisson, et al. (1989). ""Prevalence of Erythrocytic Protozoa and Serologic Reactivity to Selected Pathogens in Deer in Texas USA."" Preventive Veterinary Medicine 7(1): 49-58."
"Waldrup et al 1992","Waldrup, K. A., J. Moritz, et al. (1992). ""Monthly Incidence of Theileria-Cervi and Seroconversion to Babesia-Odocoilei in White-Tailed Deer Odocoileus-Virginianus in Texas."" Journal of Wildlife Diseases 28(3): 457-459."
"Walker et al 1993","Walker, J. B., Keirans, J. E., and R. G. Pegram (1993) Rhipicephalus aquatilis sp. Nov. (Acari: Ixodidae), a new tick species parasitic mainly on sitatunga, Tragelaphus spekei, in East and Central Africa.  Onderstepoort Journal of Veterinary Research, 60: 205-210."
"Walker et al 1996","Walker, E. D., R. G. McLean, et al. (1996). ìBorrelia burgdorferi-infected Ixodes scapularis (Acari: Ixodidae) and Peromyscus leucopus in northeastern Wisconsin.""ù Journal of Medical Entomology 33(1): 165-168."
"Wallis and Lee 1999","Wallis, J., and D. R. Lee. 1999. Primate conservation: The prevention of disease transmission. International Journal of Primatology 20:803-826."
"Walls et al 1997","Walls, J. J., K. M. Asanovich, et al. (1997). ""Serologic evidence of natural infection of white-tailed deer and black bear with Ehrlichia phagocytophila group ehrlichiae."" Abstracts of the General Meeting of the American Society for Microbiology 97(0): 220."
"Walls et al 1998","Walls, J., J., M. Asanovich Kristin, et al. (1998). ""Serologic evidence of a natural infection of white-tailed deer with the agent of human granulocytic ehrlichiosis in Wisconsin and Maryland."" Clinical and Diagnostic Laboratory Immunology 5(6): 762-765."
"Waner et al. 1999","Waner, T., G. Baneth, C. Strenger, A. Keysary, R. King, and S. Harrus. 1999. Antibodies reactive with Ehrlichia canis, Ehrlichia phagocytophila genogroup antigens and the spotted fever group rickettsial antigens, in free-ranging jackals (Canis aureus syriacus) from Israel. Veterinary Parasitology 82:121-128."
"Wang et al. 2009","Wang, X. T., B. G. Werner, R. Konomi, D. Hennigan, D. Fadden, E. Caten, S. Soliva and A. DeMaria. 2009. Animal rabies in massachusetts, 1985-2006. Journal of Wildlife Diseases 45: 375-387"
"Wanha et al. 2005","Wanha, K., R. Edelhofer, C. Gabler-Eduardo and H. Prosl. 2005. Prevalence of antibodies against neospora caninum and toxoplasma gondii in dogs and foxes in austria. Veterinary Parasitology 128: 189-193"
"Wanyangu et al 1987","Wanyangu, S. W., R. O. Olubayo, et al. (1987). ""The Study of the Ecology and Prevalence of Leptospirosis in Large Wild Ruminants and Domesticated Bovines Found in Kenya."" Israel Journal of Veterinary Medicine 43(4): 340-341."
"Wanyangu et al 1989","Wanyangu, S. W., Rossitter, P. B., Olubayo, R. O., Wafula, J. S., and S. A. Waitkins (1989) Leptospiral agglutinins in the wild ungulates found in Kenya. Tropical Veterinarian, 7: 185-189"
"Ward et al 1997","Ward, A. C. S.,Hunter, D. L., Jaworski, M. D., Benolkin, P. J., Dobel, M. P., Jeffress, J. B. and G. A. Tanner (1997) Pasturella spp. in sympatric Bighorn and domestic sheep. Journal of Wildlife Diseases, 33: 544-557."
"Warren et al. 1998","Warren, K. S., H. Niphuis, Heriyanto, E. J. Verschoor, R. A. Swan, and J. L. Heeney. 1998. Seroprevalence of specific viral infections in confiscated orangutans (Pongo pygmaeus). Journal of Medical Primatology 27:33-37."
"Warsame and Steen 1989","Warsame, I. Y. and M. Steen (1989). ""Malignant Catarrhal Fever in Wild Swedish Moose Alces-Alces L."" Rangifer 9(2): 51-58."
"Wasieri et al. 2009","Wasieri, J., G. Schmiedeknecht, C. Forster, M. Konig and M. Reinacher. 2009. Parvovirus infection in a eurasian lynx (lynx lynx) and in a european wildcat (felis silvestris silvestris). Journal of Comparative Pathology 140: 203-207"
"Wassef and Hoogstraal 1988","Wassef, H. Y. and H. Hoogstraal (1988). ""Dermacentor-Steini Acari Ixodoidea Ixodidae Hosts Distribution in the Malay Peninsula Indonesia Borneo Thailand the Philippines and New Guinea."" Journal of Medical Entomology 25(5): 315-320."
"Watermeyer et al 2000","Watermeyer, R., Boomker, J., and J. F. Putterill (2000) Studies on the genus Setaria Viborg, 1795 in South Africa. I. Setaria africana (Yeh, 1959). Onderstepoort Journal of Veterinary Research, 67: 229-234."
"Watermeyer et al. 2004","Watermeyer, R., Boomker, J., Putterill, J.F. (2004) Studies on the genus Setaria Viborg, 1795 in South Africa. III. Setaria thwaitei Monnig, 1933. Onderstepoort Journal of Veterinary Research 71: 107-111."
"Watson et al. 1981","WATSON, T. G., NETTLES, V. F., and DAVIDSON, W. R. (1981). ENDOPARASITES AND SELECTED INFECTIOUS AGENTS IN BOBCATS (Felis rufus) FROM WEST VIRGINIA AND GEORGIA 1. Journal of Wildlife Diseases, 17(4), 547-554."
"Webb et al 1987","Webb, P. A., R. G. McLean, et al. (1987). ""Epizootic Vesicular Stomatitis in Colorado USA 1982 Some Observations on the Possible Role of Wildlife Populations in an Enzootic Maintenance Cycle."" Journal of Wildlife Diseases 23(2): 192-198."
"Webber 1955","Webber. 1955. The Filarial Parasites: A Review I.-Dirofilaria and Dipetalonema. Tropical Medicine and Parasitology 49:123- 141."
"Weber 1991","Weber, J. M. 1991. Gastrointestinal helminths of the otter, Lutra lutra, in Shetland. Journal of Zoology 224:341-346."
"Weber and Roberts 1989","Weber, J. M., and L. Roberts. 1989. A bacterial-infection as a cause of abortion in the European otter, Lutra lutra. Journal of Zoology 219:688-690."
"Weber and Van Hoven 1992","Weber, A. and W. Van Hoven (1992) Tuberculosis of the parotid salivary gland in a kudu Tragelaphus strepsiceros. Koedoe, 35: 119-122"
