Pathogen_Original,PathogenName_Harmonised,PathogenType,HumanInfective_Any,HumanInfective_EID2,HumanInfective_External,DiseaseAgent,IsZoonotic,InGIDEON,Disease_GIDEON,Route_GIDEON,AnimalReservoir_GIDEON,VectorBorne,Vector_GIDEON,InWertheim,Disease_Wertheim,AnimalReservoir_Taylor,UN_subregion,Countries_EID2Wertheim
pachysentis canicola,pachysentis canicola,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
pachysentis sp.,pachysentis sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
palyam,palyam,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
panine gammaherpesvirus 1,panine herpesvirus 1,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
pantoea sp.,pantoea sp.,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
papiine alphaherpesvirus 2,papiine herpesvirus 2,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
papio hamadryas adenovirus 1,papio hamadryas adenovirus 1,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
parabronema bonnei,parabronema bonnei,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
parabronema pecariae,parabronema pecariae,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
parabronema roundi,parabronema roundi,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
parabronema skrjabini,parabronema skrjabini,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
parabronema sp.,parabronema sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
paracooperia devossi,paracooperia devossi,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
paracooperia horaki,paracooperia horaki,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
paracooperia serrata,paracooperia serrata,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
paracooperioides peleae,paracooperioides peleae,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
parafasciolopsis fasciolaemorpha,parafasciolopsis fasciolaemorpha,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
parafilaria bassoni,parafilaria bassoni,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
parafilaroides decorus,parafilaroides decorus,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
parafilaroides gymnurus,parafilaroides gymnurus,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
parafilaroides normani,parafilaroides normani,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
parafilaroides sp.,parafilaroides sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
paragonimus pulmonalis,paragonimus pulmonalis,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
paragonimus rudis,paragonimus rudis,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
paragonimus sp.,paragonimus sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
paraisotricha minuta,paraisotricha minuta,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
paralibyostrongylus hebrenicutus,paralibyostrongylus hebrenicutus,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
paralibyostrongylus kalinae,paralibyostrongylus kalinae,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
parallelorchis diglossus,parallelorchis diglossus,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
parametorchis complexus,parametorchis complexus,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
paramphistomum cervi,paramphistomum cervi,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
paramphistomum epiclitum,paramphistomum epiclitum,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
paramphistomum ichikawai,paramphistomum ichikawai,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
paramphistomum liorchis,paramphistomum liorchis,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
paramphistomum sp.,paramphistomum sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
paraoxyuronema brachytelesi,paraoxyuronema brachytelesi,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
paraplagiopyla kiboko,paraplagiopyla kiboko,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
parapoteriostomum euproctus,parapoteriostomum euproctus,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
parapoteriostomum mettami,parapoteriostomum mettami,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
parapoteriostomum schuermanni,parapoteriostomum schuermanni,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
pararhabdonema longistriata,pararhabdonema longistriata,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
parascaris sp.,parascaris sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
parelaphostrongylus andersoni,parelaphostrongylus andersoni,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
parelaphostrongylus odocoilei,parelaphostrongylus odocoilei,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
parelaphostrongylus tenuis,parelaphostrongylus tenuis,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
parentodinium africanum,parentodinium africanum,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
parentodinium ostrea,parentodinium ostrea,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
parentodinium sp.,parentodinium sp.,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
passalurus nonannulatus,passalurus nonannulatus,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
paulianfilaria pauliana,paulianfilaria pauliana,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
pearsonema mucronata,pearsonema mucronata,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
petrovinema poculatum,petrovinema poculatum,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
phacochoerus africanus cytomegalovirus 1,phacochoerus africanus cytomegalovirus 1,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
phacochoerus africanus lymphotropic herpesvirus 1,phacochoerus africanus lymphotropic herpesvirus 1,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
phagicola angrense,phagicola angrense,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
phagicola diminuta,phagicola diminuta,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
phagicola longa,phagicola longa,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
phagicola sp.,phagicola sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
phaneropsolus orbicularis,phaneropsolus orbicularis,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
phaneropsolus perodictici,phaneropsolus perodictici,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
pharyngodon sp.,pharyngodon sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
pharyngostomoides adenocephala,pharyngostomoides adenocephala,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
pharyngostomoides procyonis,pharyngostomoides procyonis,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
pharyngostomoides sp.,pharyngostomoides sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
pharyngostomum cordatum,pharyngostomum cordatum,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
philophthalmus zalophi,philophthalmus zalophi,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
phocascaris cystophorae,phocascaris cystophorae,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
phocascaris phocae,phocascaris phocae,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
phocascaris sp.,phocascaris sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
phocid alphaherpes virus 1,phocid herpesvirus 1,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
phocine distemper,phocine distemper,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
phocitrema fusiforme,phocitrema fusiforme,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
phyllobothrium delphini,phyllobothrium delphini,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
physaloptera cebi,physaloptera cebi,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
physaloptera dilatata,physaloptera dilatata,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
physaloptera maxillaris,physaloptera maxillaris,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
physaloptera mordens,physaloptera mordens,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
physaloptera multipapillata,physaloptera multipapillata,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
physaloptera multiuteri,physaloptera multiuteri,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
physaloptera praeputialis,physaloptera praeputialis,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
physaloptera rara,physaloptera rara,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
physaloptera sibirica,physaloptera sibirica,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
physaloptera sp.,physaloptera sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
physocephalus sexalatus,physocephalus sexalatus,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
physocephalus sp.,physocephalus sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
piliocolobus badius adenovirus 1,piliocolobus badius adenovirus 1,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
placoconus lotoris,placoconus lotoris,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
plagiorchis elegans,plagiorchis elegans,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
plagiorchis muris,plagiorchis muris,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
plagiorchis vespertilionis,plagiorchis vespertilionis,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
plagiorhynchus cylindraceus,plagiorhynchus cylindraceus,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
plagiorhynchus ogatai,plagiorhynchus ogatai,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
plasmodium adleri,plasmodium adleri,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
plasmodium blacklocki,plasmodium blacklocki,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
plasmodium brasilianum,plasmodium brasilianum,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
plasmodium coatneyi,plasmodium coatneyi,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
plasmodium cynomolgi,plasmodium cynomolgi,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
plasmodium eylesi,plasmodium eylesi,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
plasmodium fieldi,plasmodium fieldi,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
plasmodium fragile,plasmodium fragile,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
plasmodium gaboni,plasmodium gaboni,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
plasmodium georgesi,plasmodium georgesi,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
plasmodium girardi,plasmodium girardi,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
plasmodium gonderi,plasmodium gonderi,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
plasmodium hylobati,plasmodium hylobati,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
plasmodium inui,plasmodium inui,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
plasmodium jefferyi,plasmodium jefferyi,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
plasmodium petersi,plasmodium petersi,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
plasmodium pitheci,plasmodium pitheci,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
plasmodium praefalciparum,plasmodium praefalciparum,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
plasmodium reichenowi,plasmodium reichenowi,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
plasmodium rodhani,plasmodium rodhani,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
plasmodium schwetzi,plasmodium schwetzi,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
plasmodium shortii,plasmodium shortii,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
plasmodium simiovale,plasmodium simiovale,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
plasmodium sp.,plasmodium sp.,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
plasmodium youngi,plasmodium youngi,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
platynosomum amazonensis,platynosomum amazonensis,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
platynosomum marmoseti,platynosomum marmoseti,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
plenosoma minimum,plenosoma minimum,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
plesiomonas sp.,plesiomonas sp.,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
pneumostrongylus calcaratus,pneumostrongylus calcaratus,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
polymorphus cetaceum,polymorphus cetaceum,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
polymorphus major,polymorphus major,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
polymorphus meyeri,polymorphus meyeri,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
polymorphus sp.,polymorphus sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
polyplastron multivesiculatum,polyplastron multivesiculatum,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
pomphorhynchus laevis,pomphorhynchus laevis,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
porcine lymphotropic herpesvirus 1,porcine lymphotropic herpesvirus 1,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
porcine reproductive and respiratory syndrome virus 1,porcine reproductive and respiratory syndrome virus 1,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
porrocaecum decipiens,porrocaecum decipiens,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
porrocaecum sp.,porrocaecum sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
porrorchis leibyi,porrorchis leibyi,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
porrorchis nickoli,porrorchis nickoli,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
porrorchis oti,porrorchis oti,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
poteriostomum imparidentatum,poteriostomum imparidentatum,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
poteriostomum ratzii,poteriostomum ratzii,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
pricetrema sp.,pricetrema sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
pricetrema zolophi,pricetrema zolophi,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
primasubulura jacchi,primasubulura jacchi,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
primasubulura otolicini,primasubulura otolicini,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
primasubulura sp.,primasubulura sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
primate t-lymphotropic virus 1,primate t-lymphotropic virus 1,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
primate t-lymphotropic virus 2,primate t-lymphotropic virus 2,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
primate t-lymphotropic virus 3,primate t-lymphotropic virus 3,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
primate t-lymphotropic virus 4,primate t-lymphotropic virus 4,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
probstmayria gabonensis,probstmayria gabonensis,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
probstmayria gombensis,probstmayria gombensis,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
probstmayria goodallae,probstmayria goodallae,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
probstmayria gorillae,probstmayria gorillae,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
probstmayria sp.,probstmayria sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
probstmayria vivipara,probstmayria vivipara,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
procyonostrongylus muelleri,procyonostrongylus muelleri,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
procyotrema marsupiformis,procyotrema marsupiformis,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
profilicollis altmani,profilicollis altmani,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
profilicollis botulus,profilicollis botulus,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
profilicollis sp.,profilicollis sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
prosthenorchis elegans,prosthenorchis elegans,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
prosthenorchis sp.,prosthenorchis sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
prosthenorchis spirula,prosthenorchis spirula,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
prosthodendrium naviculum,prosthodendrium naviculum,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
protofilaria furcata,protofilaria furcata,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
protospirura muricola,protospirura muricola,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
protospirura numidica,protospirura numidica,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
protospirura sp.,protospirura sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
protostrongylus africanus,protostrongylus africanus,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
protostrongylus capensis,protostrongylus capensis,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
protostrongylus hobmaieri,protostrongylus hobmaieri,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
protostrongylus rufescens,protostrongylus rufescens,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
protostrongylus rupricaprae,protostrongylus rupricaprae,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
protostrongylus rushi,protostrongylus rushi,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
protostrongylus sp.,protostrongylus sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
protostrongylus stilesi,protostrongylus stilesi,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
prototapirella gorillae,prototapirella gorillae,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
prouterina wescotti,prouterina wescotti,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
providencia sp.,providencia sp.,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
pseudocryptotropa sp.,pseudocryptotropa sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
pseudolimax butschlii,pseudolimax butschlii,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
pseudomonas luteola,pseudomonas luteola,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
pseudomonas sp.,pseudomonas sp.,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
pseudoterranova cattani,pseudoterranova cattani,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
pseudoterranova sp.,pseudoterranova sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
pseudotroglotrema sp.,pseudotroglotrema sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
pterothominx sp.,pterothominx sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
pterygodermatites affinis,pterygodermatites affinis,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
pterygodermatites nycticebi,pterygodermatites nycticebi,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
puma lentivirus,puma lentivirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
pygidiopsis summa,pygidiopsis summa,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
rabbit hemorrhagic disease,rabbit hemorrhagic disease,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
raillietina sp.,raillietina sp.,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
reticularia sp.,reticularia sp.,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
retortamonas sp.,retortamonas sp.,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
rhizobium sp.,rhizobium sp.,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
ribeiroia ondatrae,ribeiroia ondatrae,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
rictularia affinis,rictularia affinis,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
rictularia lemuri,rictularia lemuri,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
rinderpest,rinderpest,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
ruminococcus gnavus,ruminococcus gnavus,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
ruminococcus hansenii,ruminococcus hansenii,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
rupicapra rupicapra gammaherpesvirus 1,rupicapra gammaherpesvirus 1,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
salmonella sp.,salmonella sp.,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
sandnema digitatum,sandnema digitatum,helminth,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
sarcocystis alces,sarcocystis alces,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
sarcocystis alceslatrans,sarcocystis alceslatrans,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
sarcocystis americana,sarcocystis americana,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
sarcocystis arctosi,sarcocystis arctosi,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
sarcocystis arieticanis,sarcocystis arieticanis,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
sarcocystis axicuonis,sarcocystis axicuonis,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
sarcocystis camelopardalis,sarcocystis camelopardalis,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
sarcocystis capracanis,sarcocystis capracanis,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
sarcocystis capreolicanis,sarcocystis capreolicanis,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
sarcocystis capricornis,sarcocystis capricornis,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
sarcocystis cornagliai,sarcocystis cornagliai,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
sarcocystis danzani,sarcocystis danzani,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
sarcocystis dubeyella,sarcocystis dubeyella,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
sarcocystis elegans,sarcocystis elegans,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
sarcocystis felis,sarcocystis felis,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
sarcocystis fusiformis,sarcocystis fusiformis,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
sarcocystis gazellae,sarcocystis gazellae,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
sarcocystis giraffae,sarcocystis giraffae,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
sarcocystis grueneri,sarcocystis grueneri,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
sarcocystis hardangeri,sarcocystis hardangeri,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
sarcocystis hemioni,sarcocystis hemioni,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
sarcocystis hemionilatrantis,sarcocystis hemionilatrantis,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
sarcocystis hydrurgae,sarcocystis hydrurgae,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
sarcocystis kirkpatricki,sarcocystis kirkpatricki,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
sarcocystis klaseriensis,sarcocystis klaseriensis,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
sarcocystis melampi,sarcocystis melampi,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
sarcocystis mephitisi,sarcocystis mephitisi,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
