Pathogen_Original,PathogenName_Harmonised,PathogenName_Harm2,PathogenType,HumanInfective_Any,HumanInfective_EID2,HumanInfective_External,DiseaseAgent,IsZoonotic,InGIDEON,Disease_GIDEON,Route_GIDEON,AnimalReservoir_GIDEON,VectorBorne,Vector_GIDEON,InWertheim,Disease_Wertheim,AnimalReservoir_Taylor,UN_subregion,Countries_EID2Wertheim
eimeria bovis,eimeria bovis,eimeria bovis,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
eimeria crispus,eimeria crispus,eimeria crispus,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
eimeria felina,eimeria felina,eimeria felina,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
eimeria furonis,eimeria furonis,eimeria furonis,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
eimeria hreindyria,eimeria hreindyria,eimeria hreindyria,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
eimeria ictidea,eimeria ictidea,eimeria ictidea,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
eimeria kamoshika,eimeria kamoshika,eimeria kamoshika,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
eimeria macusaniensis,eimeria macusaniensis,eimeria macusaniensis,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
eimeria madisonensis,eimeria madisonensis,eimeria madisonensis,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
eimeria mayeri,eimeria mayeri,eimeria mayeri,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
eimeria mccordocki,eimeria mccordocki,eimeria mccordocki,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
eimeria melis,eimeria melis,eimeria melis,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
eimeria mephitidis,eimeria mephitidis,eimeria mephitidis,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
eimeria nuttalli,eimeria nuttalli,eimeria nuttalli,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
eimeria odocoilei,eimeria odocoilei,eimeria odocoilei,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
eimeria pachylepyron,eimeria pachylepyron,eimeria pachylepyron,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
eimeria procyonis,eimeria procyonis,eimeria procyonis,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
eimeria rangiferis,eimeria rangiferis,eimeria rangiferis,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
eimeria serowi,eimeria serowi,eimeria serowi,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
eimeria sp.,eimeria sp.,eimeria sp.,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
eimeria vulpis,eimeria vulpis,eimeria vulpis,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
eimeria zuernii,eimeria zuernii,eimeria zuernii,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
elyplastron bubali,elyplastron bubali,elyplastron bubali,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
endolimax nana,endolimax nana,endolimax nana,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
endolimax sp.,endolimax sp.,endolimax sp.,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
entamoeba chattoni,entamoeba chattoni,entamoeba chattoni,protozoa,1,0,1,1,1,1,entamoeba polecki infection,food,1,0,NA,0,NA,1,NA,NA
entamoeba coli,entamoeba coli,entamoeba coli,protozoa,1,1,0,0,0,0,NA,NA,0,0,NA,0,NA,0,"Eastern Africa, Western Africa, South America, Eastern Asia, South-eastern Asia, Western Asia, Western Europe","VN,NG,MW,DE,BE,BR,JP,PE,CY,TR,TW"
entamoeba dispar,entamoeba dispar,entamoeba dispar,protozoa,1,0,1,0,0,0,NA,NA,0,0,NA,0,NA,0,,
entamoeba hartmanni,entamoeba hartmanni,entamoeba hartmanni,protozoa,1,1,0,0,0,0,NA,NA,0,0,NA,0,NA,0,Northern Europe,GB
entamoeba histolytica,entamoeba histolytica,entamoeba histolytica,protozoa,1,1,1,1,1,1,"amoebiasis, amoebic abscess",NA,0,1,fly,0,NA,1,NA,NA
entamoeba polecki,entamoeba polecki,entamoeba polecki,protozoa,1,1,1,1,1,1,entamoeba polecki infection,food,1,0,NA,0,NA,0,"Eastern Africa, Northern Europe","SO,DK,KE,SE,ET"
entamoeba sp.,entamoeba sp.,entamoeba sp.,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
entodinium bicornutum,entodinium bicornutum,entodinium bicornutum,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
entodinium bursa,entodinium bursa,entodinium bursa,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
entodinium caudatum,entodinium caudatum,entodinium caudatum,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
entodinium dubardi,entodinium dubardi,entodinium dubardi,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
entodinium furca,entodinium furca,entodinium furca,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
entodinium minimum,entodinium minimum,entodinium minimum,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
entodinium rectangulatum,entodinium rectangulatum,entodinium rectangulatum,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
entopolypoides macaci,entopolypoides macaci,entopolypoides macaci,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
entopolypoides sp.,entopolypoides sp.,entopolypoides sp.,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
epidinium bulbiferum,epidinium bulbiferum,epidinium bulbiferum,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
epidinium caudatum,epidinium caudatum,epidinium caudatum,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
epidinium gigas,epidinium gigas,epidinium gigas,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
eudiplodinium maggi,eudiplodinium maggii,eudiplodinium maggii,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
giardia intestinalis,giardia intestinalis,giardia intestinalis,protozoa,1,1,1,1,1,1,giardiasis,"food, water, environment",1,0,NA,0,NA,1,NA,NA
giardia sp.,giardia sp.,giardia sp.,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
gorillophilus thoracatus,gorillophilus thoracatus,gorillophilus thoracatus,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
hammondia heydorni,hammondia heydorni,hammondia heydorni,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
hepatocystis bovillezi,hepatocystis bovillezi,hepatocystis bovillezi,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
hepatocystis cercopitheci,hepatocystis cercopitheci,hepatocystis cercopitheci,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
hepatocystis foleyi,hepatocystis foleyi,hepatocystis foleyi,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
hepatocystis kochi,hepatocystis kochi,hepatocystis kochi,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
hepatocystis semnopitheci,hepatocystis semnopitheci,hepatocystis semnopitheci,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
hepatocystis simiae,hepatocystis simiae,hepatocystis simiae,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
hepatocystis sp.,hepatocystis sp.,hepatocystis sp.,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
hepatocystis taiwanensis,hepatocystis taiwanensis,hepatocystis taiwanensis,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
hepatozoon americanum,hepatozoon americanum,hepatozoon americanum,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
hepatozoon canis,hepatozoon canis,hepatozoon canis,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
hepatozoon jm-1,hepatozoon jm-1,hepatozoon jm-1,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
hepatozoon jm-2,hepatozoon jm-2,hepatozoon jm-2,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
hepatozoon jm-3,hepatozoon jm-3,hepatozoon jm-3,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
hepatozoon jm-4,hepatozoon jm-4,hepatozoon jm-4,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
hepatozoon jm-5,hepatozoon jm-5,hepatozoon jm-5,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
hepatozoon jm-6,hepatozoon jm-6,hepatozoon jm-6,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
hepatozoon jm-7,hepatozoon jm-7,hepatozoon jm-7,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
hepatozoon jm-8,hepatozoon jm-8,hepatozoon jm-8,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
hepatozoon procyonis,hepatozoon procyonis,hepatozoon procyonis,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
hepatozoon sp.,hepatozoon sp.,hepatozoon sp.,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
iodamoeba butschlii,iodamoeba butschlii,iodamoeba butschlii,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
iodamoeba sp.,iodamoeba sp.,iodamoeba sp.,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
isospora africana,isospora africana,isospora africana,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
isospora altaica,isospora altaica,isospora altaica,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
isospora arctopitheci,isospora arctopitheci,isospora arctopitheci,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
isospora cebi,isospora cebi,isospora cebi,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
isospora endocallimici,isospora endocallimici,isospora endocallimici,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
isospora hoogstraali,isospora hoogstraali,isospora hoogstraali,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
isospora lutrae,isospora lutrae,isospora lutrae,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
isospora martessii,isospora martessii,isospora martessii,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
isospora melis,isospora melis,isospora melis,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
isospora papionis,isospora papionis,isospora papionis,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
isospora saimirae,isospora saimirae,isospora saimirae,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
isospora sengeri,isospora sengeri,isospora sengeri,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
isospora sp.,isospora sp.,isospora sp.,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
isospora spilogales,isospora spilogales,isospora spilogales,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
isospora vulpis,isospora vulpis,isospora vulpis,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
isospora zorillae,isospora zorillae,isospora zorillae,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
leishmania braziliensis,leishmania braziliensis,leishmania braziliensis,protozoa,1,1,1,1,1,1,mutocutaneous leishmaniasis,vector,1,1,sandfly (lutzomyia or psychodopygus),1,cutaneous leishmaniasis,1,"Central America, South America","CO,VE,GY,SR,GF,EC,BR,PE,BO,CL,AR,PY,UY,BZ,GT,HN,SV,NI,CR,PA,MX"
leishmania chagasi,leishmania chagasi,leishmania chagasi,protozoa,1,1,1,1,1,1,visceral leishmaniasis (kala azar),vector,1,1,sandfly,1,visceral leishmaniasis,1,NA,NA
leishmania donovani,leishmania donovani,leishmania donovani,protozoa,1,1,1,1,1,1,visceral leishmaniasis (kala azar),vector,1,1,"sandfly (phlebotomus, lutzomyia)",1,visceral leishmaniasis,1,"Northern Africa, Eastern Africa, Middle Africa, Western Africa, Central Asia, South-eastern Asia, Southern Asia, Eastern Europe, South America, Eastern Asia, Western Asia, Northern Europe, Southern Europe, Western Europe","SN,GM,GW,GN,SL,LR,CI,GH,ML,BF,TG,BJ,NE,NG,SO,ET,KE,UG,TZ,BI,RW,CD,CG,GA,GQ,CM,CF,SS,SD,TD,MA,DZ,TN,LY,EG,KZ,RU,UZ,TM,TJ,KG,PK,AF,MM,TH,LA,KH,VN,MY,PH,BN,SA,IN,CN,LB,IR,FR,PT,BD,IT,BR,IQ,DJ,BT,LK,CY,GB,MV"
leishmania infantum,leishmania infantum,leishmania infantum,protozoa,1,1,1,1,1,1,visceral leishmaniasis (kala azar),vector,1,1,"sandfly (phlebotomus, lutzomyia)",1,visceral leishmaniasis,1,NA,NA
leishmania mexicana,leishmania mexicana,leishmania mexicana,protozoa,1,1,1,0,1,0,NA,NA,0,0,NA,0,NA,1,"Central America, South America, Northern America","MX,BZ,PA,BR,GT,US"
leishmania shawi,leishmania shawi,leishmania shawi,protozoa,1,0,1,1,1,1,leishmaniasis,vector,1,1,sandfly (Lutzomyia),0,NA,1,NA,NA
leishmania sp.,leishmania sp.,leishmania sp.,protozoa,1,0,1,1,1,1,leishmaniasis,vector,1,1,sandfly,1,leishmaniasis,0,NA,NA
metadinium medium,metadinium medium,metadinium medium,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
monocystis sp.,monocystis sp.,monocystis sp.,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
neospora caninum,neospora caninum,neospora caninum,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
neospora sp.,neospora sp.,neospora sp.,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
ostracodinium gracile,ostracodinium gracile,ostracodinium gracile,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
ostracodinium mammosum,ostracodinium mammosum,ostracodinium mammosum,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
ostracodinium trivesiculatum,ostracodinium trivesiculatum,ostracodinium trivesiculatum,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
paraisotricha minuta,paraisotricha minuta,paraisotricha minuta,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
paraplagiopyla kiboko,paraplagiopyla kiboko,paraplagiopyla kiboko,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
parentodinium africanum,parentodinium africanum,parentodinium africanum,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
parentodinium ostrea,parentodinium ostrea,parentodinium ostrea,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
parentodinium sp.,parentodinium sp.,parentodinium sp.,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
plasmodium adleri,plasmodium adleri,plasmodium adleri,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
plasmodium blacklocki,plasmodium blacklocki,plasmodium blacklocki,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
plasmodium brasilianum,plasmodium brasilianum,plasmodium brasilianum,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
plasmodium coatneyi,plasmodium coatneyi,plasmodium coatneyi,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
plasmodium cynomolgi,plasmodium cynomolgi,plasmodium cynomolgi,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
plasmodium eylesi,plasmodium eylesi,plasmodium eylesi,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
plasmodium falciparum,plasmodium falciparum,plasmodium falciparum,protozoa,1,1,1,1,0,1,malaria,vector,0,1,mosquito (anopheles),1,malaria,0,NA,NA
plasmodium fieldi,plasmodium fieldi,plasmodium fieldi,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
plasmodium fragile,plasmodium fragile,plasmodium fragile,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
plasmodium gaboni,plasmodium gaboni,plasmodium gaboni,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
plasmodium georgesi,plasmodium georgesi,plasmodium georgesi,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
plasmodium girardi,plasmodium girardi,plasmodium girardi,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
plasmodium gonderi,plasmodium gonderi,plasmodium gonderi,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
plasmodium hylobati,plasmodium hylobati,plasmodium hylobati,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
plasmodium inui,plasmodium inui,plasmodium inui,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
plasmodium jefferyi,plasmodium jefferyi,plasmodium jefferyi,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
plasmodium knowlesi,plasmodium knowlesi,plasmodium knowlesi,protozoa,1,1,1,1,1,1,malaria,vector,1,1,mosquito (anopheles),1,malaria,1,NA,NA
plasmodium malariae,plasmodium malariae,plasmodium malariae,protozoa,1,1,1,1,1,1,malaria,vector,0,1,mosquito (anopheles),0,NA,1,NA,NA
plasmodium ovale,plasmodium ovale,plasmodium ovale,protozoa,1,1,1,1,0,1,malaria,vector,0,1,mosquito (anopheles),1,malaria,0,NA,NA
plasmodium petersi,plasmodium petersi,plasmodium petersi,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
plasmodium pitheci,plasmodium pitheci,plasmodium pitheci,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
plasmodium praefalciparum,plasmodium praefalciparum,plasmodium praefalciparum,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
plasmodium reichenowi,plasmodium reichenowi,plasmodium reichenowi,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
plasmodium rodhani,plasmodium rodhani,plasmodium rodhani,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
plasmodium schwetzi,plasmodium schwetzi,plasmodium schwetzi,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
plasmodium shortii,plasmodium shortii,plasmodium shortii,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
plasmodium simiovale,plasmodium simiovale,plasmodium simiovale,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
plasmodium simium,plasmodium simium,plasmodium simium,protozoa,1,1,1,1,1,1,malaria (zoonotic),vector,1,1,mosquito (anopheles),1,malaria (zoonotic),1,NA,NA
plasmodium sp.,plasmodium sp.,plasmodium sp.,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
plasmodium vivax,plasmodium vivax,plasmodium vivax,protozoa,1,1,1,1,0,1,malaria,vector,0,1,mosquito (anopheles),1,malaria,0,NA,NA
plasmodium youngi,plasmodium youngi,plasmodium youngi,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
polyplastron multivesiculatum,polyplastron multivesiculatum,polyplastron multivesiculatum,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
prototapirella gorillae,prototapirella gorillae,prototapirella gorillae,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
pseudolimax butschlii,pseudolimax butschlii,pseudolimax butschlii,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
reticularia sp.,reticularia sp.,reticularia sp.,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
retortamonas sp.,retortamonas sp.,retortamonas sp.,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
sarcocystis alces,sarcocystis alces,sarcocystis alces,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
sarcocystis alceslatrans,sarcocystis alceslatrans,sarcocystis alceslatrans,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
sarcocystis americana,sarcocystis americana,sarcocystis americana,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
sarcocystis arctosi,sarcocystis arctosi,sarcocystis arctosi,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
sarcocystis arieticanis,sarcocystis arieticanis,sarcocystis arieticanis,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
sarcocystis axicuonis,sarcocystis axicuonis,sarcocystis axicuonis,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
sarcocystis camelopardalis,sarcocystis camelopardalis,sarcocystis camelopardalis,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
sarcocystis capracanis,sarcocystis capracanis,sarcocystis capracanis,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
sarcocystis capreolicanis,sarcocystis capreolicanis,sarcocystis capreolicanis,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
sarcocystis capricornis,sarcocystis capricornis,sarcocystis capricornis,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
sarcocystis cornagliai,sarcocystis cornagliai,sarcocystis cornagliai,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
sarcocystis danzani,sarcocystis danzani,sarcocystis danzani,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
sarcocystis dubeyella,sarcocystis dubeyella,sarcocystis dubeyella,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
sarcocystis elegans,sarcocystis elegans,sarcocystis elegans,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
sarcocystis felis,sarcocystis felis,sarcocystis felis,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
sarcocystis fusiformis,sarcocystis fusiformis,sarcocystis fusiformis,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
sarcocystis gazellae,sarcocystis gazellae,sarcocystis gazellae,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
sarcocystis giraffae,sarcocystis giraffae,sarcocystis giraffae,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
sarcocystis grueneri,sarcocystis grueneri,sarcocystis grueneri,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
sarcocystis hardangeri,sarcocystis hardangeri,sarcocystis hardangeri,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
sarcocystis hemioni,sarcocystis hemioni,sarcocystis hemioni,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
sarcocystis hemionilatrantis,sarcocystis hemionilatrantis,sarcocystis hemionilatrantis,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
sarcocystis hominis,sarcocystis hominis,sarcocystis hominis,protozoa,1,1,1,1,1,1,sarcocystosis,"food, water",1,0,NA,0,NA,0,"Eastern Asia, Southern Europe","CN,ES"
sarcocystis hydrurgae,sarcocystis hydrurgae,sarcocystis hydrurgae,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
sarcocystis kirkpatricki,sarcocystis kirkpatricki,sarcocystis kirkpatricki,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
sarcocystis klaseriensis,sarcocystis klaseriensis,sarcocystis klaseriensis,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
sarcocystis melampi,sarcocystis melampi,sarcocystis melampi,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
sarcocystis mephitisi,sarcocystis mephitisi,sarcocystis mephitisi,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
sarcocystis mongolica,sarcocystis mongolica,sarcocystis mongolica,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
sarcocystis neurona,sarcocystis neurona,sarcocystis neurona,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
sarcocystis odocoileocanis,sarcocystis odocoileocanis,sarcocystis odocoileocanis,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
sarcocystis ovalis,sarcocystis ovalis,sarcocystis ovalis,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
sarcocystis phacochoeri,sarcocystis phacochoeri,sarcocystis phacochoeri,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
sarcocystis rangi,sarcocystis rangi,sarcocystis rangi,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
sarcocystis scandinavica,sarcocystis scandinavica,sarcocystis scandinavica,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
sarcocystis sebeki,sarcocystis sebeki,sarcocystis sebeki,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
sarcocystis silva,sarcocystis silva,sarcocystis silva,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
sarcocystis sp.,sarcocystis sp.,sarcocystis sp.,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
sarcocystis tarandivulpes,sarcocystis tarandivulpes,sarcocystis tarandivulpes,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
sarcocystis ursusi,sarcocystis ursusi,sarcocystis ursusi,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
sarcocystis woodhousei,sarcocystis woodhousei,sarcocystis woodhousei,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
sarcocystis youngi,sarcocystis youngi,sarcocystis youngi,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
sarcosystis sp.,sarcosystis sp.,sarcosystis sp.,protozoa,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
schistosoma haematobium,schistosoma haematobium,schistosoma haematobium,protozoa,1,1,1,1,1,1,schistosomiasis,"environment, water",1,0,NA,1,schistosomiasis,1,NA,NA
schistosoma mansoni,schistosoma mansoni,schistosoma mansoni,protozoa,1,1,1,1,1,1,schistosomiasis,water,1,1,NA,1,schistosomiasis,1,NA,NA
